"Step","supervisedlargea100 - epoch","supervisedlargea100 - epoch__MIN","supervisedlargea100 - epoch__MAX"
"183","0.71484375","0.71484375","0.71484375"
"184","0.71875","0.71875","0.71875"
"185","0.72265625","0.72265625","0.72265625"
"186","0.7265625","0.7265625","0.7265625"
"187","0.73046875","0.73046875","0.73046875"
"188","0.734375","0.734375","0.734375"
"189","0.73828125","0.73828125","0.73828125"
"190","0.7421875","0.7421875","0.7421875"
"191","0.74609375","0.74609375","0.74609375"
"192","0.75","0.75","0.75"
"193","0.75390625","0.75390625","0.75390625"
"194","0.7578125","0.7578125","0.7578125"
"195","0.76171875","0.76171875","0.76171875"
"196","0.765625","0.765625","0.765625"
"197","0.76953125","0.76953125","0.76953125"
"198","0.7734375","0.7734375","0.7734375"
"199","0.77734375","0.77734375","0.77734375"
"200","0.78125","0.78125","0.78125"
"201","0.78515625","0.78515625","0.78515625"
"202","0.7890625","0.7890625","0.7890625"
"203","0.79296875","0.79296875","0.79296875"
"204","0.796875","0.796875","0.796875"
"205","0.80078125","0.80078125","0.80078125"
"206","0.8046875","0.8046875","0.8046875"
"207","0.80859375","0.80859375","0.80859375"
"208","0.8125","0.8125","0.8125"
"209","0.81640625","0.81640625","0.81640625"
"210","0.8203125","0.8203125","0.8203125"
"211","0.82421875","0.82421875","0.82421875"
"212","0.828125","0.828125","0.828125"
"213","0.83203125","0.83203125","0.83203125"
"214","0.8359375","0.8359375","0.8359375"
"215","0.83984375","0.83984375","0.83984375"
"216","0.84375","0.84375","0.84375"
"217","0.84765625","0.84765625","0.84765625"
"218","0.8515625","0.8515625","0.8515625"
"219","0.85546875","0.85546875","0.85546875"
"220","0.859375","0.859375","0.859375"
"221","0.86328125","0.86328125","0.86328125"
"222","0.8671875","0.8671875","0.8671875"
"223","0.87109375","0.87109375","0.87109375"
"224","0.875","0.875","0.875"
"225","0.87890625","0.87890625","0.87890625"
"226","0.8828125","0.8828125","0.8828125"
"227","0.88671875","0.88671875","0.88671875"
"228","0.890625","0.890625","0.890625"
"229","0.89453125","0.89453125","0.89453125"
"230","0.8984375","0.8984375","0.8984375"
"231","0.90234375","0.90234375","0.90234375"
"232","0.90625","0.90625","0.90625"
"233","0.91015625","0.91015625","0.91015625"
"234","0.9140625","0.9140625","0.9140625"
"235","0.91796875","0.91796875","0.91796875"
"236","0.921875","0.921875","0.921875"
"237","0.92578125","0.92578125","0.92578125"
"238","0.9296875","0.9296875","0.9296875"
"239","0.93359375","0.93359375","0.93359375"
"240","0.9375","0.9375","0.9375"
"241","0.94140625","0.94140625","0.94140625"
"242","0.9453125","0.9453125","0.9453125"
"243","0.94921875","0.94921875","0.94921875"
"244","0.953125","0.953125","0.953125"
"245","0.95703125","0.95703125","0.95703125"
"246","0.9609375","0.9609375","0.9609375"
